Month,Operacion,Clase,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,lbs,Costo_Tot_Manufactura
1.0,1,2,37,102,1075.0,238.27,13426.75,1,256143.48,156.11,19.08,2369.8374,167822.12
1.0,1,2,65,17,25.0,627.64,822.5,1,15690.92,337.66,19.08,55.1125,8441.56
1.0,1,2,5,130,50.0,131.82,345.5,1,6591.14,112.95,19.08,110.225,5647.55
1.0,1,2,5,107,400.0,133.73,2804.0,1,53492.2,76.65,19.08,881.8,30660.4
1.0,1,2,65,151,25.0,144.99,190.0,1,3624.65,0.0,19.08,55.1125,0.0
1.0,1,2,118,112,125.0,451.67,56458.75,0,56458.75,395.81,19.08,275.5625,49475.71
1.0,1,2,118,112,50.0,451.67,22583.5,0,22583.5,395.81,19.08,110.225,19790.29
1.0,1,2,5,107,525.0,190.58,5244.75,1,100054.61,113.07,19.08,1157.3625,59359.49
1.0,1,2,5,107,575.0,190.58,5744.25,1,109583.62,113.07,19.08,1267.5875,65012.78
1.0,1,2,65,35,91.0,556.86,2656.29,1,50674.31,403.8,19.08,200.6095,36745.48
1.0,1,2,65,130,125.0,280.24,1836.25,1,35030.33,179.14,19.08,275.5625,22392.85
1.0,1,2,109,130,1000.0,106.64,5590.0,1,106641.0,88.29,19.08,2204.5,88285.6
1.0,1,2,125,133,500.0,128.1,64050.0,0,64050.0,140.51,19.08,1102.25,70257.1
1.0,1,2,118,112,25.0,451.67,11291.75,0,11291.75,395.81,19.08,55.1125,9895.14
1.0,1,2,118,112,24.0,451.67,10840.08,0,10840.08,395.81,19.08,52.908,9499.34
1.0,0,2,66,218,113.0,75.74,448.61,1,8558.18,75.6,19.08,249.1085,8542.52
1.0,1,2,6,5,500.0,145.56,3815.0,1,72779.15,114.11,19.08,1102.25,57055.75
1.0,1,2,132,125,50.0,157.77,413.5,1,7888.38,111.47,19.08,110.225,5573.28
1.0,1,2,132,128,25.0,158.91,208.25,1,3972.81,180.81,19.08,55.1125,4520.15
1.0,1,2,132,114,50.0,204.7,536.5,1,10234.87,144.13,19.08,110.225,7206.33
