Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 5,1000.0,149.45,7630.0, USD ,149454.91,MXP,114.11,19.59,7630.0,2204.5,114111.5,Enero
1.0,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 155,300.0,193.14,2958.0, USD ,57940.71,MXP,124.13,19.59,2958.0,661.35,37238.73,Enero
1.0,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 127,400.0,44.46,908.0, USD ,17785.72,MXP,33.99,19.59,908.0,881.8,13597.76,Enero
1.0,01/03/2019,Venta,NAC,27965,Cliente 127,Producto 18,4896.0,36.83,9204.48, USD ,180295.69,MXP,33.83,19.59,9204.49,10793.232,165636.09,Enero
1.0,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,200.0,192.54,1964.0, USD ,38508.74,MXP,127.04,19.61,1964.0,440.9,25407.24,Enero
1.0,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,150.0,231.95,1774.5, USD ,34793.16,MXP,143.01,19.61,1774.5,330.675,21452.19,Enero
1.0,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,275.0,150.58,2112.0, USD ,41410.63,MXP,97.89,19.61,2112.0,606.2375,26920.08,Enero
1.0,01/04/2019,Venta,NAC,27972,Cliente 123,Producto 219,9482.0,77.45,37453.9, USD ,734369.5,MXP,60.04,19.61,37453.88,20903.068,569270.81,Enero
1.0,01/04/2019,Venta,NAC,27970,Cliente 152,Producto 127,350.0,42.35,756.0, USD ,14823.13,MXP,33.99,19.61,756.0,771.575,11898.04,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 134,50.0,506.85,1292.5, USD ,25342.44,MXP,286.92,19.61,1292.5,110.225,14345.75,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 220,1000.0,127.06,6480.0, USD ,127055.3,MXP,53.34,19.61,6480.0,2204.5,53335.9,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 130,475.0,134.9,3268.0, USD ,64076.65,MXP,93.15,19.61,3268.0,1047.1375,44244.64,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 118,200.0,193.13,1970.0, USD ,38626.38,MXP,158.08,19.61,1970.0,440.9,31615.94,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 107,100.0,92.15,470.0, USD ,9215.43,MXP,68.8,19.61,470.0,220.45,6879.52,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 125,100.0,100.98,515.0, USD ,10097.76,MXP,84.72,19.61,515.0,220.45,8471.65,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 126,50.0,122.55,312.5, USD ,6127.28,MXP,110.88,19.61,312.5,110.225,5544.22,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 125,100.0,199.21,1016.0, USD ,19921.02,MXP,149.7,19.61,1016.0,220.45,14970.4,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 140,50.0,188.43,480.5, USD ,9421.31,MXP,110.14,19.61,480.5,110.225,5507.21,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 140,125.0,172.54,1100.0, USD ,21568.03,MXP,137.39,19.61,1100.0,275.5625,17174.29,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 142,225.0,139.02,1595.25, USD ,31278.56,MXP,121.04,19.61,1595.25,496.0125,27233.51,Enero
