Producto,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
207,73848.0,1541.0,422683.92000000004,8114035.720000001,1412.6200000000001,162797.918,7449495.430000001,1.4739336472380506,1.2573111674820867,3
208,5289.0,3002.4200000000005,144324.6,673034.3200000001,1854.1599999999996,11659.600499999999,612581.73,-0.442048216183737,0.024927157161842843,0
209,21780.0,814.21,104754.54000000002,2016536.2800000003,747.99,48014.009000000005,1810214.24,-0.16302515822301275,0.44076151954957055,0
210,150.0,154.43,1185.0,23164.14,77.26,330.675,11589.62,-0.7694290392908896,0.16517942309981992,0
211,225.0,1557.56,3608.5,69263.57,1227.93,496.01250000000005,55416.29,-0.6844825543377412,0.05129144079261944,0
212,675.0,4280.909999999999,6111.0,117808.78999999998,5030.1,1488.0374999999992,142003.15999999992,-0.4626773422433258,-0.25422515492280595,0
213,450.0,3476.34,4714.0,90849.76999999999,1961.0700000000004,992.0249999999996,51976.15999999998,-0.6070169756245519,-0.059221137593068574,0
214,100.0,202.81,1076.0,20281.42,104.48,220.45,10447.79,-0.7681177111697955,0.16120101378357846,0
215,75.0,436.88,855.75,16394.010000000002,218.08,165.33749999999998,8178.150000000001,-0.7590555401036202,0.1456588826516822,0
216,75.0,242.28,468.75,9036.58,92.84,165.33749999999998,3481.38,-0.7694229239281175,0.1597085172613492,0
217,7770.0,1441.4100000000003,36353.19,704192.6200000001,1192.96,17128.964999999997,454018.8899999999,-0.5186287278567043,0.16458549467029512,0
218,42827.0,1188.43,177379.49,3430784.2800000003,1134.0,94412.12019999999,3254699.18,0.3386266744428281,0.7169408272214998,0
219,898411.0,25995.479999999996,5304912.55,62280388.49999996,18372.010000000002,1980547.039799999,49103542.67999995,20.39058677757072,10.46162876684644,2
220,81360.0,12799.009999999995,906303.75,6508180.230000001,7520.940000000013,179358.11999999994,4347409.350000003,1.760295230742694,0.3043503222949148,3
221,2448.0,4020.9900000000002,28372.32000000001,546854.05,1793.1599999999994,5396.615999999999,243874.61999999997,-0.5232702165833497,-0.036317071771848605,0
222,36906.0,6851.559999999999,261522.47,4022294.6599999988,4018.8700000000026,81359.27680000004,2403861.1,0.4959415341500133,0.22908547953526737,0
